,BlackRock Multi,iShares iBoxx,BlackRock EDF,iShares 20+,Vanguard EIF,Cash
22/03/2018,8.32476902,65.84262085,12.5232296,107.7996902,25.49907875,21.9694429
,,,,,,
23/03/2018,8.286194801,65.67246246,12.27889824,107.7189941,25.02159309,21.9704534
,,,,,,
26/03/2018,8.317056656,66.09783173,12.56300259,107.3066864,25.63448715,21.97348519
,,,,,,
27/03/2018,8.301627159,66.03591156,12.43231392,108.4540787,25.37792778,21.97449588
,,,,,,
28/03/2018,8.309341431,66.00499725,12.44935989,108.740921,25.38505363,21.97550662
,,,,,,
29/03/2018,8.368227959,66.22927856,12.55731964,109.2697601,25.69862556,21.9765174
,,,,,,
02/04/2018,8.344985008,65.97225952,12.35276604,109.4853668,25.14274597,21.98054295
,,,,,,
03/04/2018,8.360479355,66.15860748,12.50049782,108.6409378,25.47769928,21.98155396
,,,,,,
04/04/2018,8.368227959,66.30614471,12.6141386,108.4163818,25.73425865,21.98257104
,,,,,,
05/04/2018,8.39147377,66.36049652,12.73914528,107.6079102,25.9266777,21.98358817
,,,,,,
06/04/2018,8.368227959,66.21298981,12.53458881,108.7847137,25.4420681,21.98460534
,,,,,,
09/04/2018,8.368227959,66.46146393,12.58572865,108.9643555,25.53471375,21.98765714
,,,,,,
10/04/2018,8.399223328,66.70218658,12.76755524,108.7666931,25.90529633,21.9886745
,,,,,,
11/04/2018,8.399223328,66.72544861,12.69626141,109.1530151,25.78414726,21.98969191
,,,,,,
12/04/2018,8.399223328,66.96619415,12.7989254,108.3534851,25.9623127,21.99070937
,,,,,,
13/04/2018,8.399223328,67.00499725,12.74759102,108.6050186,25.90529633,21.99172687
,,,,,,
16/04/2018,8.422466278,67.10594177,12.82173634,108.6409378,26.08346558,21.99477966
,,,,,,
17/04/2018,8.437965393,67.13703918,12.87877274,108.9374008,26.21174049,21.99579736
,,,,,,
18/04/2018,8.430215836,67.0670929,12.8901844,108.0660324,26.21174049,21.99681509
,,,,,,
19/04/2018,8.406971931,66.85748291,12.89588451,107.1856766,25.98369026,21.99783288
,,,,,,
20/04/2018,8.39147377,66.69437408,12.84455585,106.4131622,25.82690811,21.99885071
,,,,,,
23/04/2018,8.383725166,66.51582336,12.8673687,106.4401245,25.86966324,22.00192256
,,,,,,
24/04/2018,8.360479355,66.38380432,12.80462933,105.9550095,25.67011833,22.00294661
,,,,,,
25/04/2018,8.352731705,66.39155579,12.83314514,105.2453766,25.72000313,22.0039707
,,,,,,
26/04/2018,8.360479355,66.62451935,12.8673687,105.9819641,25.89104462,22.00499484
,,,,,,
27/04/2018,8.375973701,66.59345245,12.8901844,106.7994308,25.93380165,22.00601903
,,,,,,
30/04/2018,8.399329185,66.54685974,12.79321957,106.98806,25.69862556,22.00909188
,,,,,,
01/05/2018,8.391547203,66.59598541,12.75899982,106.6027451,25.64873886,22.01011024
,,,,,,
02/05/2018,8.383761406,66.57259369,12.65633297,106.4857101,25.40643311,22.01113466
,,,,,,
03/05/2018,8.368190765,66.56480408,12.58789063,106.9628525,25.39930725,22.01215914
,,,,,,
04/05/2018,8.383761406,66.61158752,12.70766735,107.1248932,25.68437195,22.01318366
,,,,,,
07/05/2018,8.383761406,66.6739502,12.73048019,106.9538803,25.74851418,22.01625751
,,,,,,
08/05/2018,8.383761406,66.57259369,12.73048019,106.8548203,25.69862556,22.01728223
,,,,,,
09/05/2018,8.391547203,66.68178558,12.83885098,106.2156448,25.93380165,22.01830699
,,,,,,
10/05/2018,8.407114029,66.87672424,12.95292187,107.0708771,26.18323517,22.01933179
,,,,,,
11/05/2018,8.414896965,66.85333252,13.00995922,107.3409805,26.24737549,22.02035665
,,,,,,
14/05/2018,8.422681808,66.86891937,13.0498867,106.7737885,26.29726219,22.02343151
,,,,,,
15/05/2018,8.391547203,66.54138947,12.99855328,105.5584183,26.15472794,22.02445655
,,,,,,
16/05/2018,8.399329185,66.62718201,13.03277302,105.1533051,26.24737549,22.02548165
,,,,,,
17/05/2018,8.399329185,66.66615295,13.0498867,104.6221085,26.22599792,22.02650679
,,,,,,
18/05/2018,8.399329185,66.59598541,12.98714256,105.522438,26.15472794,22.02753198
,,,,,,
21/05/2018,8.407114029,66.68954468,13.08410549,105.5764313,26.3471489,22.03060783
,,,,,,
22/05/2018,8.407114029,66.7363739,13.07840061,105.4143677,26.29013824,22.03163322
,,,,,,
23/05/2018,8.399329185,66.79093933,13.04417896,106.1796188,26.3471489,22.03265864
,,,,,,
24/05/2018,8.391547203,66.82995605,12.99855328,107.0259018,26.26875877,22.03368412
,,,,,,
25/05/2018,8.383761406,66.72072601,12.95292187,107.692131,26.15472794,22.03470964
,,,,,,
29/05/2018,8.352626801,66.44002533,12.71907425,110.0508499,25.84115791,22.03881222
,,,,,,
30/05/2018,8.368190765,66.64279938,12.9129982,109.3126144,26.22599792,22.03983798
,,,,,,
31/05/2018,8.403402328,66.58039856,12.82173634,109.1325531,26.03357697,22.04086379
,,,,,,
01/06/2018,8.419050217,66.73234558,12.92440224,108.5559692,26.2616291,22.04188965
